rs10004195	Helicobacter pylori serologic status
rs1000597	Nephrolithiasis
rs10007186	Non-albumin protein levels 
rs1000778	Sphingolipid levels
rs10010325	Height
rs10012307	DNA methylation (parent-of-origin)
rs10019888	HDL cholesterol
rs10028213	Thyroid function
rs10032216	Thyroid hormone levels
rs10032549	Glomerular filtration rate
rs10033464	Atrial fibrillation/atrial flutter
rs10033900	Age-related macular degeneration
rs10033900	Age-related macular degeneration (CNV)
rs10034228	Myopia (pathological)
rs10036748	Systemic lupus erythematosus
rs1003719	Eye color traits
rs10037512	Height
rs10044254	Asthma (corticosteroid response)
rs1004446	Type 1 diabetes
rs1004446	Type 1 diabetes autoantibodies
rs1004467	Systolic blood pressure
rs10045431	Crohns disease
rs10045497	Lipid traits
rs10047462	Iron status biomarkers
rs10048146	Bone mineral density
rs10048146	Bone mineral density (spine)
rs10052657	Esophageal cancer
rs10053502	Myopia (pathological)
rs10056340	Allergic sensitization
rs10058074	Height
rs10058728	Esophageal cancer
rs10065637	Crohns disease
rs10065906	Major depressive disorder
rs1006737	Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)
rs1006737	Bipolar disorder
rs1006737	Bipolar disorder and major depressive disorder (combined)
rs1006737	Schizophrenia
rs1006737	Schizophrenia or bipolar disorder
rs10069690	Breast cancer
rs1007000	Corneal structure
rs10076782	Mean platelet volume
rs1008084	Red blood cell traits
rs10088218	Ovarian cancer
rs10091038	Response to statin therapy
rs10091374	Cardiac Troponin-T levels
rs10096633	Metabolic traits
rs10096633	Triglycerides
rs10097731	Serum total protein level
rs10098310	White blood cell count
rs10102164	Cholesterol, total
rs10102164	LDL cholesterol
rs10105606	Triglycerides
rs10108684	Immune response to smallpox vaccine (IL-6)
rs10109414	Chronic kidney disease
rs1011970	Breast cancer
rs1012053	Bipolar disorder
rs1012068	Chronic hepatitis C infection
rs10122902	Amyotrophic lateral sclerosis
rs10127775	Metabolite levels
rs10128711	Cholesterol, total
rs10131141	Obesity-related traits
rs1013209	Height
rs10136766	IgG levels
rs1014286	Serum protein levels (sST2)
rs10146997	Waist circumference
rs10147992	White blood cell types
rs1014971	Bladder cancer
rs10150332	Body mass index
rs1015213	Glaucoma (primary open-angle)
rs10152591	Height
rs1015362	Burning and freckling
rs1015362	Freckles
rs1015362	Red vs. non-red hair color
rs1015362	Skin sensitivity to sun
rs1015451	Heart rate
rs10157379	Fibrinogen
rs10159477	Red blood cell traits
rs1016343	Prostate cancer
rs10166942	Migraine
rs10168266	Sjögrens syndrome
rs10168349	Hematocrit
rs1016883	Ulcerative colitis
rs1016988	Fibrinogen
rs1017226	Breast cancer (early onset)
rs10175798	Rheumatoid arthritis
rs10181042	Crohns disease
rs10182181	Obesity
rs10183486	Menopause (age at onset)
rs10187424	Prostate cancer
rs10188217	Crohns disease and celiac disease
rs1018827	Venous thromboembolism
rs10188442	Hypertension
rs10189629	Self-reported allergy
rs10189761	Obesity
rs10189857	F-cell distribution
rs10195252	Triglycerides
rs10195263	Immune reponse to smallpox (secreted IFN-alpha)
rs10197862	Asthma and hay fever
rs10198628	Pericardial fat
rs10199768	Cardiovascular disease risk factors
rs10201872	Multiple sclerosis
rs10206899	Creatinine levels
rs10206899	Glomerular filtration rate
rs10207392	Red blood cell traits
rs10210302	Crohns disease
rs10211524	Metabolite levels
rs1021188	Bone mineral density
rs10224002	Hematocrit
rs10224002	Hemoglobin
rs10226084	Fibrinogen
rs10226308	Bone mineral density
rs102275	Crohns disease
rs102275	Metabolite levels
rs102275	Oleic acid (18:1n-9) plasma levels
rs102275	Palmitoleic acid (16:1n-7) plasma levels
rs102275	Phospholipid levels (plasma)
rs102275	Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)
rs102275	Stearic acid (18:0) plasma levels
rs10229583	Type 2 diabetes
rs10231759	Height
rs1023252	Natriuretic peptide levels
rs10235789	Iris characteristics
rs1024161	Alopecia areata
rs1024161	Graves disease
rs10242100	Bone mineral density
rs10246939	Bitter taste perception
rs10248619	Fasting glucose-related traits (interaction with BMI)
rs10255299	C-reactive protein and white blood cell count
rs10260404	Amyotrophic lateral sclerosis
rs10261878	Body mass index
rs10262453	Sagittal craniosynostosis
rs10262915	Intelligence
rs1026364	Bone mineral density
rs10273639	Pancreatitis
rs10274279	Myopia (pathological)
rs10275044	Renal function-related traits (BUN)
rs10275045	Schizophrenia or bipolar disorder
rs1027643	Wilms tumor
rs10277115	Renal function-related traits (eGRFcrea)
rs10277115	Renal function-related traits (sCR)
rs1029534	Height
rs1031391	Bitter taste perception
rs103294	Prostate cancer
rs1033180	Celiac disease
rs1034200	Central corneal thickness
rs1034200	Corneal structure
rs1034566	Platelet counts
rs1035209	Colorectal cancer
rs1036429	Pulmonary function
rs1036476	Thoracic aortic aneurysms and dissections
rs1038304	Bone mineral density (hip)
rs1038304	Bone mineral density (spine)
rs1039002	Bipolar disorder
rs10401969	Cholesterol, total
rs10401969	LDL cholesterol
rs10401969	Triglycerides
rs10404486	Phospholipid levels (plasma)
rs10411210	Colorectal cancer
rs10411428	Bronchodilator response in asthma (inhaled corticosteroid treatment interaction)
rs10411619	Pulmonary emphysema
rs10411936	White blood cell count
rs10416218	Bone mineral density
rs10416265	Bone properties (heel)
rs10419226	Barretts esophagus
rs10419226	Digestive system disease (Barretts esophagus and esophageal adenocarcinoma combined)
rs1042034	HDL cholesterol
rs1042034	Triglycerides
rs1042058	Inflammatory bowel disease
rs10423674	Menarche (age at onset)
rs10423928	Obesity
rs10423928	Two-hour glucose challenge
rs10424878	PCA3 expression level
rs1042602	Freckles
rs1042602	Skin pigmentation
rs1042725	Birth weight
rs1042725	Head circumference (infant)
rs1042725	Height
rs10427255	Common traits (Other)
rs10428132	Brugada syndrome
rs10429035	Bone mineral density
rs1043099	Rheumatoid arthritis
rs10432496	Immune reponse to smallpox (secreted IL-2)
rs1043515	Height
rs1043879	Erythrocyte sedimentation rate
rs10440833	Type 2 diabetes
rs10441737	Menarche (age at onset)
rs10445033	Red blood cell traits
rs10447248	Adiponectin levels
